nohup: ignoring input
 * Serving Flask app "backendServer" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.122.8:8800/ (Press CTRL+C to quit)
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 08:00:04] "POST /upload_folder/image HTTP/1.1" 200 -
